bcsid,bd9totce,bd9hnvq,bd9ms,bd9partp,b9groa,b9cns8,b9ten,b9cmsex,hinvq00,wm1,wm2,wm3,wm4,wm5,c1,c2,c3,c4,b11sex,bd11nochh,bd1psoc,bd1mage,bd1agefb,bd1cntry,bd1regn,a0166,bd3read,bd3maths,bd3psoc,bd3inc,bd4read,bd4psoc,bd4mal,mathscore,y,d,sex_raw,female,soc_birth,soc_10,soc_16,mage,mage_fb,parity,birth_order,read_10_z,math_10_z,cog_10,vocab_16_z,math_16_z,cog_16,inc_10,malaise_16,m_trad_gender,m_profamily,m_earnings,m_log_earn,m_partner
B10001N,2,4,2,1,NA,9,1,2,4,4,4,3,4,4,4,2,1,3,2,2,6,34,17,1,8,4,0.44,51,5,5,NA,3,-2,NA,2,4,2,1,0,1,3,34,17,4,5,0.31400266800454907,0.4705127219682027,0.39225769498637586,NA,NA,NA,5,-2,3.6666666666666665,2.5,NA,NA,1
B10003Q,3,2,2,1,2200,6,1,1,2,2,4,3,3,5,4,1,2,3,1,3,5,21,18,3,10,1,0.36,50,3,4,NA,NA,-2,NA,3,2,1,0,1,3,NA,21,18,1,2,0.230808637908048,0.38616928705883924,0.3084889624834436,NA,NA,NA,4,-2,3,3,2200,7.696667081526462,1
B10004R,2,4,2,1,NA,9,1,2,3,2,2,3,4,5,4,2,1,2,2,1,7,25,22,1,2,1,1.08,53,2,4,0.33,6,16,NA,2,3,2,1,-1,4,0,25,22,1,2,0.9795549087765574,0.6391995917869295,0.8093772502817435,0.28012394237392657,NA,NA,4,16,2.3333333333333335,2.5,NA,NA,1
B10007U,2,2,3,3,748,6,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,748,6.618738983517219,0
B10009W,2,2,2,1,NA,4,2,1,2,4,4,3,3,5,4,2,4,4,1,1,7,26,18,1,6,1,1,55,4,1,NA,NA,-2,NA,2,2,1,0,-1,2,NA,26,18,1,2,0.8963608786800562,0.8078864616056565,0.8521236701428563,NA,NA,NA,1,-2,3.6666666666666665,4,NA,NA,1
B10011Q,2,3,2,NA,9000,3,2,2,3,2,4,4,4,5,4,1,2,5,2,2,7,18,18,1,5,0,NA,57,3,3,NA,3,-2,NA,2,3,2,1,-1,3,3,18,18,0,1,NA,0.9765733314243833,NA,NA,NA,NA,3,-2,3.3333333333333335,3,9000,9.105090961257085,NA
B10013S,2,2,2,1,947,3,2,2,0,4,4,3,3,4,4,3,4,3,2,2,5,30,28,1,2,1,-0.76,27,2,4,0.25,NA,NA,20,2,0,2,1,1,4,NA,30,28,1,2,-0.9339077834429665,-1.5537297158565198,-1.2438187496497433,0.19800002371241296,-1.5489405523401643,-0.6754702643138757,4,NA,3.6666666666666665,4,947,6.854354502255021,1
B10015U,1,4,8,3,25000,2,2,1,4,3,3,3,3,5,3,2,1,3,1,3,6,23,21,1,7,0,1.08,56,4,1,0.88,3,7,NA,1,4,1,0,0,2,3,23,21,0,1,0.9795549087765574,0.8922298965150198,0.9358924026457887,0.8447258831718326,NA,NA,1,7,3,2,25000,10.12667110305036,0
B10016V,3,4,2,1,4300,1.1,1,1,0,1,1,1,1,1,1,2,1,2,1,0,7,30,17,1,7,5,-2.2,23,NA,4,NA,NA,-2,NA,3,0,1,0,-1,NA,NA,30,17,5,6,-2.4314003251799856,-1.8911034554939736,-2.1612518903369797,NA,NA,NA,4,-2,1,1,4300,8.366602832783736,1
B10018X,4,1,2,1,NA,2,2,1,0,4,3,2,3,3,3,2,2,3,1,3,5,27,21,1,7,2,NA,NA,3,3,NA,3,-2,NA,4,0,1,0,1,3,3,27,21,2,3,NA,NA,NA,NA,NA,NA,3,-2,3,2.5,NA,NA,1
B10020R,2,2,2,1,1260,2,2,2,2,3,2,4,3,3,4,1,2,4,2,0,4,18,18,1,5,0,NA,37,1,4,NA,1,-2,NA,2,2,2,1,2,5,5,18,18,0,1,NA,-0.7102953667628854,NA,NA,NA,NA,4,-2,3,3,1260,7.13966033596492,1
B10021S,2,5,8,3,NA,9,2,2,4,5,4,3,3,5,4,2,3,3,2,2,8,26,26,1,5,0,NA,NA,6,0,NA,NA,NA,NA,2,4,2,1,-2,0,NA,26,26,0,1,NA,NA,NA,NA,NA,NA,0,NA,4,3.5,NA,NA,0
B10024V,1,4,2,NA,953,6,4,2,4,4,4,3,5,5,3,2,5,2,2,1,5,28,24,3,10,2,NA,35,1,4,NA,1,16,NA,1,4,2,1,1,5,5,28,24,2,3,NA,-0.8789822365816123,NA,NA,NA,NA,4,16,3.6666666666666665,4,953,6.860663671448287,NA
B10036Z,1,4,2,1,65000,1.1,2,1,4,3,2,3,3,4,4,2,2,3,1,2,8,27,27,1,5,0,NA,67,4,3,NA,4,7,NA,1,4,1,0,-2,2,2,27,27,0,1,NA,1.8200076805180176,NA,NA,NA,NA,3,7,2.6666666666666665,3,65000,11.082157933374816,1
B10037A,1,2,2,1,50,5,2,2,2,4,3,3,5,4,4,2,2,4,2,1,5,22,20,1,6,1,NA,NA,2,4,-0.15,NA,20,40,1,2,2,1,1,4,NA,22,20,1,2,NA,NA,NA,-0.212619569595155,0.20112252767127087,-0.005748520961942061,4,20,3.3333333333333335,3,50,3.9318256327243257,1
B10038B,4,4,2,1,NA,4,2,1,4,2,2,3,4,4,3,3,4,2,1,3,8,40,35,1,5,1,0.04,49,6,0,NA,6,-2,NA,4,4,1,0,-2,0,0,40,35,1,2,-0.10196748247795612,0.3018258521494758,0.09992918483575985,NA,NA,NA,0,-2,2.3333333333333335,3.5,NA,NA,1
B10040V,3,2,2,1,NA,4,2,2,2,2,3,3,4,3,4,4,3,2,2,2,6,20,20,1,5,0,1,50,5,0,NA,NA,NA,NA,3,2,2,1,0,1,NA,20,20,0,1,0.8963608786800562,0.38616928705883924,0.6412650828694477,NA,NA,NA,0,NA,2.6666666666666665,3.5,NA,NA,1
B10043Y,2,4,2,1,100000,1.1,2,1,4,4,3,3,3,4,4,2,4,4,1,1,5,26,21,1,5,2,NA,52,4,NA,NA,6,2,44,2,4,1,0,1,2,0,26,21,2,3,NA,0.5548561568775662,NA,NA,0.5511351436735579,NA,NA,2,3.3333333333333335,4,100000,11.51293546492023,1
